type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id
3;általános iskola;734305;101237;46,250373;20,140706;400;734305101237
3;általános iskola;733228;102215;46,259304;20,126916;400;733228102215
3;általános iskola;734018;101993;46,257209;20,137121;400;734018101993
3;általános iskola;735455;102240;46,259249;20,155801;400;735455102240
3;általános iskola;548478;107951;46,308355;17,729535;400;548478107951
3;általános iskola;561317;109092;46,320444;17,895963;400;561317109092
3;általános iskola;561910;114824;46,372082;17,902571;400;561910114824
3;általános iskola;736090;92965;46,17574;20,162321;400;73609092965
3;bölcsőde;739658;110903;46,336623;20,211978;40;739658110903
3;bölcsőde;742931;97976;46,219901;20,251897;40;74293197976
3;bölcsőde;741378;98381;46,223757;20,231852;40;74137898381
3;bölcsőde;723338;100685;46,246696;19,998417;40;723338100685
3;bölcsőde;545809;120287;46,418902;17,692115;40;545809120287
3;bölcsőde;553158;114118;46,36452;17,788989;40;553158114118
3;bölcsőde;553193;113667;46,360469;17,789538;40;553193113667
3;bölcsőde;552501;115156;46,373761;17,780234;40;552501115156
3;bölcsőde;552969;113774;46,361399;17,786605;40;552969113774
3;bölcsőde;553524;112408;46,349192;17,794101;40;553524112408
3;bölcsőde;553730;113843;46,362129;17,796478;40;553730113843
3;bölcsőde;554514;111691;46,342885;17,807108;40;554514111691
3;bölcsőde;555443;113307;46,357553;17,818844;40;555443113307
3;bölcsőde;553520;114189;46,365211;17,793678;40;553520114189
3;bölcsőde;552420;114327;46,366293;17,779356;40;552420114327
3;bölcsőde;550714;109433;46,322021;17,758239;40;550714109433
3;bölcsőde;748456;97840;46,21793121;20,32353162;40;74845697840
3;bölcsőde;531652;117522;46,391673;17,508709;40;531652117522
3;bölcsőde;726547;94463;46,19037;20,039;40;72654794463
3;bölcsőde;730728;113338;46,359662;20,09643;40;730728113338
3;bölcsőde;732060;113650;46,36234884;20,11385977;40;732060113650
3;bölcsőde;547750;128125;46,489703;17,715621;40;547750128125
3;bölcsőde;727087;111612;46,34460791;20,04890647;40;727087111612
3;bölcsőde;728414;103885;46,274906;20,064769;40;728414103885
3;bölcsőde;734930;103074;46,266817;20,149145;40;734930103074
3;bölcsőde;733847;100034;46,239609;20,134551;40;733847100034
3;bölcsőde;736645;103016;46,266076;20,171377;40;736645103016
3;bölcsőde;735849;103597;46,271405;20,161161;40;735849103597
3;bölcsőde;735210;104087;46,275894;20,152962;40;735210104087
3;bölcsőde;736239;103181;46,267613;20,166142;40;736239103181
3;bölcsőde;734007;100833;46,246776;20,136769;40;734007100833
3;bölcsőde;733517;102894;46,265376;20,130786;40;733517102894
3;bölcsőde;733725;103049;46,266744;20,133512;40;733725103049
3;bölcsőde;729870;98193;46,223535;20,082679;40;72987098193
3;bölcsőde;736501;100422;46,242762;20,169027;40;736501100422
3;bölcsőde;735535;100519;46,243758;20,156522;40;735535100519
3;bölcsőde;734621;100808;46,246474;20,144725;40;734621100808
3;bölcsőde;738704;97645;46,217495;20,197058;40;73870497645
3;bölcsőde;729894;97945;46,22134277;20,08301594;40;72989497945
3;bölcsőde;737441;100634;46,24458898;20,18132234;40;737441100634
3;bölcsőde;738209;99014;46,22991667;20,19097204;40;73820999014
3;bölcsőde;734589;100505;46,243752;20,144255;40;734589100505
3;bölcsőde;734622;101048;46,24867452;20,14485043;40;734622101048
3;bölcsőde;734006;101448;46,25234997;20,13693585;40;734006101448
3;bölcsőde;736313;104639;46,280718;20,167373;40;736313104639
3;bölcsőde;737832;100801;46,24604003;20,18642299;40;737832100801
3;bölcsőde;735285;104119;46,27621411;20,15400983;40;735285104119
3;bölcsőde;739257;102484;46,260948;20,205152;40;739257102484
3;bölcsőde;736613;104266;46,277324;20,171195;40;736613104266
3;bölcsőde;733747;102090;46,25815716;20,13369312;40;733747102090
3;bölcsőde;735890;102198;46,25885752;20,16150308;40;735890102198
3;bölcsőde;736613;104266;46,277324;20,171195;40;736613104266
3;bölcsőde;737449;100400;46,24248312;20,18138208;40;737449100400
3;bölcsőde;737879;98993;46,229729;20,186622;40;73787998993
3;bölcsőde;737421;102484;46,2612322;20,18141074;40;737421102484
3;bölcsőde;732723;100083;46,240189;20,119988;40;732723100083
3;bölcsőde;561885;115273;46,376117;17,902161;40;561885115273
3;gimnázium;744027;107703;46,30724;20,268067;350;744027107703
3;gimnázium;553101;113241;46,356623;17,788432;350;553101113241
3;gimnázium;552279;114214;46,365256;17,777548;350;552279114214
3;gimnázium;553514;113458;46,358635;17,793752;350;553514113458
3;gimnázium;553560;113055;46,355017;17,794434;350;553560113055
3;gimnázium;553313;113871;46,362321;17,791054;350;553313113871
3;gimnázium;553421;113035;46,354817;17,792632;350;553421113035
