type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id
3;óvoda;734443;104130;46,276378;20,143021;87;3734443104130
3;óvoda;732765;102900;46,265523;20,121034;87;3732765102900
3;óvoda;738319;102438;46,260659;20,192979;87;3738319102438
3;óvoda;739025;102272;46,259072;20,202103;87;3739025102272
3;óvoda;734504;102345;46,260314;20,143487;87;3734504102345
3;óvoda;736765;102809;46,264199;20,172895;87;3736765102809
3;óvoda;737879;98993;46,229729;20,186622;87;373787998993
3;óvoda;735455;102240;46,259249;20,155801;87;3735455102240
3;általános iskola;735783;103224;46,268058;20,160236;367;3735783103224
3;általános iskola;734155;100325;46,242188;20,138596;367;3734155100325
3;általános iskola;736314;102485;46,261343;20,166986;367;3736314102485
3;általános iskola;735528;103364;46,26935;20,156954;367;3735528103364
3;általános iskola;734398;102244;46,259419;20,142094;367;3734398102244
3;általános iskola;735837;103372;46,269382;20,160964;367;3735837103372
3;általános iskola;734714;100725;46,245716;20,145916;367;3734714100725
3;általános iskola;734678;102182;46,258826;20,145714;367;3734678102182
3;általános iskola;728920;103301;46,269594;20,071233;367;3728920103301
3;általános iskola;736961;100597;46,244277;20,175024;367;3736961100597
3;általános iskola;734095;103480;46,270575;20,138389;367;3734095103480
3;általános iskola;734722;100938;46,247631;20,146058;367;3734722100938
3;általános iskola;733738;100890;46,247322;20,133292;367;3733738100890
3;általános iskola;733902;100003;46,239323;20,135258;367;3733902100003
3;általános iskola;736668;102729;46,263492;20,171622;367;3736668102729
3;általános iskola;735122;103911;46,274322;20,151789;367;3735122103911
3;általános iskola;734763;101817;46,255532;20,14675;367;3734763101817
3;általános iskola;732141;99632;46,236204;20,112364;367;373214199632
3;általános iskola;736222;103694;46,272229;20,166017;367;3736222103694
3;általános iskola;735909;103773;46,27298;20,161972;367;3735909103773
3;általános iskola;728180;103894;46,275015;20,061735;367;3728180103894
3;általános iskola;735665;100545;46,243976;20,158212;367;3735665100545
3;általános iskola;738710;97718;46,218151;20,19715;367;373871097718
3;általános iskola;738373;102357;46,259923;20,193664;367;3738373102357
3;általános iskola;733894;103147;46,267605;20,135721;367;3733894103147
3;általános iskola;735576;100930;46,24745;20,157129;367;3735576100930
3;általános iskola;735533;102253;46,259356;20,156815;367;3735533102253
