subtype;EOVX;EOVY;LAT;LON;poid;id;risk;essential;work_type;work_capacity;work_minage;work_maxage;vis_type;vis_capacity;vis_minage;vis_maxage
áruházlánc;731446;103956;46,275183;20,104112;181609;181609_55;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734314;102072;46,257882;20,140974;77664;77664_56;1;1;4;100;18;65;7;2000;0;99
áruházlánc;732707;100465;46,243627;20,119849;114488;114488_57;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734177;101655;46,25419049;20,13919057;3832;3832_58;1;1;4;100;18;65;7;2000;0;99
áruházlánc;731271;103856;46,27434712;20,10189318;8662;8662_59;1;1;4;100;18;65;7;2000;0;99
áruházlánc;733469;103298;46,2690578;20,13030489;3841;3841_60;1;1;4;100;18;65;7;2000;0;99
áruházlánc;732789;100310;46,24226499;20,12095311;91685;91685_61;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734935;103762;46,273005;20,149336;206037;206037_62;1;1;4;100;18;65;7;2000;0;99
áruházlánc;732097;103027;46,26678957;20,11246148;221790;221790_63;1;1;4;100;18;65;7;2000;0;99
áruházlánc;731446;103956;46,275183;20,104112;2008;2008_64;1;1;4;100;18;65;7;2000;0;99
áruházlánc;733753;103214;46,2682668;20,13397338;8518;8518_65;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736454;102988;46,26589105;20,16896388;35838;35838_66;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734370;100173;46,24083566;20,14142444;35841;35841_67;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734859;102926;46,26553715;20,14826592;35842;35842_68;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736928;101038;46,24828962;20,17474702;35843;35843_69;1;1;4;100;18;65;7;2000;0;99
áruházlánc;737622;99825;46,23728847;20,18351659;35845;35845_70;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735618;102458;46,261231;20,15802365;35847;35847_71;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735674;100574;46,24427734;20,1584029;35851;35851_72;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734778;101668;46,25423171;20,14698605;35852;35852_73;1;1;4;100;18;65;7;2000;0;99
áruházlánc;733631;103091;46,26717565;20,13236888;37273;37273_74;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736325;101030;46,24829556;20,16692738;68235;68235_75;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735823;102247;46,25930686;20,16064327;161647;161647_76;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736462;104676;46,281032;20,169313;81082;81082_77;1;1;4;100;18;65;7;2000;0;99
áruházlánc;738672;98030;46,220963;20,196717;82224;82224_78;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734150;100867;46,247064;20,138629;82227;82227_79;1;1;4;100;18;65;7;2000;0;99
áruházlánc;729665;97728;46,219376;20,079942;82230;82230_80;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736375;101285;46,250541;20,167554;82231;82231_81;1;1;4;100;18;65;7;2000;0;99
áruházlánc;737797;99735;46,236414;20,185699;82232;82232_82;1;1;4;100;18;65;7;2000;0;99
áruházlánc;728284;103831;46,274436;20,063073;82233;82233_83;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734695;101075;46,248866;20,145733;82234;82234_84;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736218;104039;46,275333;20,166029;82235;82235_85;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735014;102055;46,257641;20,150048;82236;82236_86;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735072;103758;46,272952;20,151112;82237;82237_87;1;1;4;100;18;65;7;2000;0;99
áruházlánc;738918;102208;46,258511;20,200703;82241;82241_88;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735643;103074;46,266727;20,158393;175738;175738_89;1;1;4;100;18;65;7;2000;0;99
áruházlánc;731057;103083;46,267378;20,098914;61182;61182_90;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736018;103434;46,269917;20,163323;61183;61183_91;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735025;103763;46,273003;20,150503;61226;61226_92;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734714;101704;46,25456362;20,14616272;56003;56003_93;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734695;101075;46,24890817;20,14580183;56004;56004_94;1;1;4;100;18;65;7;2000;0;99
áruházlánc;733359;103025;46,26661585;20,12882919;56005;56005_95;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734867;101465;46,25239447;20,14810306;56006;56006_96;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735813;103717;46,27253074;20,1607849;105991;105991_97;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734177;101655;46,25419049;20,13919057;147998;147998_98;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736775;99668;46,235922;20,172445;211293;211293_99;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735707;100699;46,24539749;20,15885375;7664;7664_100;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736334;103209;46,2678944;20,16744857;7665;7665_101;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734374;102037;46,25760182;20,14181435;7666;7666_102;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734913;103250;46,26844469;20,14902545;7667;7667_103;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734840;101522;46,2529106;20,14776336;7668;7668_104;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734215;100387;46,24278007;20,13945379;7669;7669_105;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736104;102764;46,26392122;20,16438303;7670;7670_106;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736548;102519;46,26166029;20,17009573;7671;7671_107;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734710;101393;46,25176668;20,14605422;14305;14305_108;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734177;101655;46,25419049;20,13919057;148000;148000_109;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735527;103778;46,27311599;20,15708634;211313;211313_110;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735219;103752;46,27292135;20,15308638;3821;3821_111;1;1;4;100;18;65;7;2000;0;99
áruházlánc;733154;100369;46,24275055;20,12569555;60820;60820_112;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735567;103786;46,27318284;20,15760667;77754;77754_113;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734119;103231;46,26837389;20,13872358;6644;6644_114;1;1;4;100;18;65;7;2000;0;99
áruházlánc;734549;101267;46,25065363;20,14394374;87014;87014_115;1;1;4;100;18;65;7;2000;0;99
áruházlánc;736714;102324;46,25988482;20,17221216;87058;87058_116;1;1;4;100;18;65;7;2000;0;99
áruházlánc;735475;103674;46,27218714;20,15639271;87059;87059_117;1;1;4;100;18;65;7;2000;0;99
áruházlánc;732707;100465;46,24366934;20,11991761;91748;91748_118;1;1;4;100;18;65;7;2000;0;99
