type;subtype;EOVX;EOVY;wgse;wgsn;capacity;id;minage;maxage;;;;;;;;;;
0;bankautomata;733925;102531;46,26206;20,136012;200;0733925102531;18;65;;;;;;;;;;
0;bankautomata;734807;101873;46,25603;20,147331;200;0734807101873;18;65;;;;;;;;;;
0;bankautomata;736334;103209;46,267852;20,16738;200;0736334103209;18;65;;;;;;;;;;
0;bankautomata;735219;103752;46,27292135;20,15308638;200;0735219103752;18;65;;;;;;;;;;
0;bankautomata;735643;103074;46,266727;20,158393;200;0735643103074;18;65;;;;;;;;;;
0;bankautomata;731446;103956;46,275183;20,104112;200;0731446103956;18;65;;;;;;;;;;
0;bankautomata;733093;102254;46,259672;20,125173;200;0733093102254;18;65;;;;;;;;;;
0;bankautomata;733154;101622;46,253979;20,125851;200;0733154101622;18;65;;;;;;;;;;
0;bankautomata;734374;102037;46,25756;20,141746;200;0734374102037;18;65;;;;;;;;;;
0;bankautomata;734955;100754;46,245946;20,149045;200;0734955100754;18;65;;;;;;;;;;
0;bankautomata;735707;100699;46,245356;20,158785;200;0735707100699;18;65;;;;;;;;;;
0;bankautomata;736479;100838;46,246507;20,168819;200;0736479100838;18;65;;;;;;;;;;
0;bankautomata;736479;100838;46,246507;20,168819;200;0736479100838;18;65;;;;;;;;;;
0;bankautomata;731635;103699;46,272849;20,106519;200;0731635103699;18;65;;;;;;;;;;
0;bankautomata;730659;104266;46,278067;20,093957;200;0730659104266;18;65;;;;;;;;;;
0;bankautomata;728300;103931;46,275334;20,063298;200;0728300103931;18;65;;;;;;;;;;
0;bankautomata;738672;98030;46,220963;20,196717;200;073867298030;18;65;;;;;;;;;;
0;bankautomata;733767;101834;46,25581;20,133838;200;0733767101834;18;65;;;;;;;;;;
0;bankautomata;734119;103231;46,268332;20,138655;200;0734119103231;18;65;;;;;;;;;;
0;bankautomata;735009;101545;46,253054;20,14989;200;0735009101545;18;65;;;;;;;;;;
0;bankautomata;734582;102042;46,257579;20,144444;200;0734582102042;18;65;;;;;;;;;;
0;bankautomata;734374;102037;46,25756;20,141746;200;0734374102037;18;65;;;;;;;;;;
0;bankautomata;734927;101476;46,252444;20,148814;200;0734927101476;18;65;;;;;;;;;;
0;bankautomata;734779;101955;46,256771;20,146983;200;0734779101955;18;65;;;;;;;;;;
0;bankautomata;734119;103231;46,268332;20,138655;200;0734119103231;18;65;;;;;;;;;;
0;bankautomata;734714;101704;46,254522;20,146094;200;0734714101704;18;65;;;;;;;;;;
0;bankautomata;734815;101926;46,256506;20,147444;200;0734815101926;18;65;;;;;;;;;;
0;bankautomata;734695;101075;46,248866;20,145733;200;0734695101075;18;65;;;;;;;;;;
0;bankautomata;734838;101480;46,252491;20,147661;200;0734838101480;18;65;;;;;;;;;;
0;bankautomata;735475;103674;46,272145;20,156324;200;0735475103674;18;65;;;;;;;;;;
0;bankautomata;734913;103250;46,268403;20,148957;200;0734913103250;18;65;;;;;;;;;;
0;bankautomata;738622;98134;46,221905;20,196088;200;073862298134;18;65;;;;;;;;;;
0;bankautomata;736370;100845;46,246584;20,167408;200;0736370100845;18;65;;;;;;;;;;
0;bankautomata;736104;102764;46,263879;20,164314;200;0736104102764;18;65;;;;;;;;;;
0;bankautomata;735219;103752;46,272879;20,153018;200;0735219103752;18;65;;;;;;;;;;
0;bankautomata;732707;100465;46,243627;20,119849;200;0732707100465;18;65;;;;;;;;;;
0;bankautomata;734335;100912;46,247445;20,141036;200;0734335100912;18;65;;;;;;;;;;
0;bankautomata;732707;100465;46,243627;20,119849;200;0732707100465;18;65;;;;;;;;;;
0;bankautomata;733154;100369;46,242709;20,125627;200;0733154100369;18;65;;;;;;;;;;
0;bankautomata;733469;103298;46,269016;20,130236;200;0733469103298;18;65;;;;;;;;;;
0;bankautomata;734927;101476;46,252444;20,148814;200;0734927101476;18;65;;;;;;;;;;
0;bankautomata;734215;100387;46,242738;20,139385;200;0734215100387;18;65;;;;;;;;;;
0;bankautomata;728300;103848;46,274587;20,063284;200;0728300103848;18;65;;;;;;;;;;
0;bankautomata;734788;101020;46,24836;20,146929;200;0734788101020;18;65;;;;;;;;;;
0;bankautomata;735004;101788;46,255241;20,14987;200;0735004101788;18;65;;;;;;;;;;
0;bankautomata;735032;101588;46,253438;20,150196;200;0735032101588;18;65;;;;;;;;;;
0;bankautomata;732789;100310;46,242223;20,120884;200;0732789100310;18;65;;;;;;;;;;
0;bankautomata;732707;100465;46,243627;20,119849;200;0732707100465;18;65;;;;;;;;;;
0;bankautomata;734437;101867;46,256023;20,142532;200;0734437101867;18;65;;;;;;;;;;
0;bankautomata;734634;101932;46,256583;20,145098;200;0734634101932;18;65;;;;;;;;;;
0;bankautomata;735701;101179;46,249674;20,158796;200;0735701101179;18;65;;;;;;;;;;
0;bankautomata;729894;105411;46,288458;20,08423;200;0729894105411;18;65;;;;;;;;;;
0;bankautomata;733359;103025;46,266574;20,12876;200;0733359103025;18;65;;;;;;;;;;
0;bankautomata;734604;101005;46,248248;20,14454;200;0734604101005;18;65;;;;;;;;;;
0;bankautomata;734119;103231;46,268332;20,138655;200;0734119103231;18;65;;;;;;;;;;
0;bankautomata;734919;101754;46,254946;20,148761;200;0734919101754;18;65;;;;;;;;;;
0;bankautomata;734867;101465;46,252353;20,148034;200;0734867101465;18;65;;;;;;;;;;
0;bankautomata;736775;99668;46,235944;20,172439;200;073677599668;18;65;;;;;;;;;;
0;bankautomata;734634;101932;46,256583;20,145098;200;0734634101932;18;65;;;;;;;;;;
0;bankautomata;734177;101655;46,254149;20,139122;200;0734177101655;18;65;;;;;;;;;;
0;bankautomata;734177;101655;46,254149;20,139122;200;0734177101655;18;65;;;;;;;;;;
0;bankautomata;735712;103090;46,266862;20,15929;200;0735712103090;18;65;;;;;;;;;;
0;bankautomata;736775;99668;46,235944;20,172439;200;073677599668;18;65;;;;;;;;;;
0;bankautomata;729697;105861;46,292529;20,081751;200;0729697105861;18;65;;;;;;;;;;
0;bankautomata;734582;102042;46,257579;20,144444;200;0734582102042;18;65;;;;;;;;;;
0;bankautomata;734919;101754;46,254946;20,148761;200;0734919101754;18;65;;;;;;;;;;
0;bankautomata;735809;100857;46,246741;20,16014265;200;0735809100857;18;65;;;;;;;;;;
0;bankautomata;734256;101363;46,251512;20,140093;200;0734256101363;18;65;;;;;;;;;;
0;bankautomata;734514;100078;46,239921;20,143205;200;0734514100078;18;65;;;;;;;;;;
0;bankautomata;734732;101619;46,253755;20,146312;200;0734732101619;18;65;;;;;;;;;;
0;bankautomata;736775;99668;46,235944;20,172439;200;073677599668;18;65;;;;;;;;;;
0;bankautomata;548597;107955;46,308384;17,731083;200;0548597107955;18;65;;;;;;;;;;
0;bankautomata;561764;115078;46,374347;17,900625;200;0561764115078;18;65;;;;;;;;;;
0;busz pályaudvar;553290;112928;46,353835;17,790953;500;0553290112928;24;65;;;;;;;;;;
0;busz pályaudvar;553349;112904;46,353628;17,791724;500;0553349112904;24;65;;;;;;;;;;
0;busz pályaudvar;731443;114113;46,366547;20,105856;500;0731443114113;24;65;;;;;;;;;;
0;busz pályaudvar;734360;102000;46,257229;20,141557;500;0734360102000;24;65;;;;;;;;;;
0;busz pályaudvar;736052;103483;46,270353;20,163773;500;0736052103483;24;65;;;;;;;;;;
0;csomagautomata;552760;114192;46,365128;17,783802;100;0552760114192;18;65;;;;;;;;;;
0;csomagautomata;552590;113685;46,360543;17,7817;100;0552590113685;18;65;;;;;;;;;;
0;csomagautomata;734119;103231;46,268332;20,138655;100;0734119103231;18;65;;;;;;;;;;
0;csomagautomata;734177;101655;46,254149;20,139122;100;0734177101655;18;65;;;;;;;;;;
0;csomagautomata;734119;103231;46,268332;20,138655;100;0734119103231;18;65;;;;;;;;;;
0;csomagautomata;736775;99668;46,235944;20,172439;100;073677599668;18;65;;;;;;;;;;
0;csomagautomata;732707;100465;46,243627;20,119849;100;0732707100465;18;65;;;;;;;;;;
0;csomagpont;738877;110305;46,331348;20,201721;100;0738877110305;18;65;;;;;;;;;;
0;csomagpont;739397;111322;46,340427;20,208669;100;0739397111322;18;65;;;;;;;;;;
0;csomagpont;738877;110305;46,331348;20,201721;100;0738877110305;18;65;;;;;;;;;;
0;csomagpont;739397;111322;46,340427;20,208669;100;0739397111322;18;65;;;;;;;;;;
0;csomagpont;741755;97754;46,218066;20,236614;100;074175597754;18;65;;;;;;;;;;
0;csomagpont;741755;97754;46,218066;20,236614;100;074175597754;18;65;;;;;;;;;;
0;csomagpont;723645;100493;46,244936;20,002367;100;0723645100493;18;65;;;;;;;;;;
0;csomagpont;723645;100493;46,244936;20,002367;100;0723645100493;18;65;;;;;;;;;;
0;csomagpont;545283;113003;46,353303;17,686924;100;0545283113003;18;65;;;;;;;;;;
0;csomagpont;552875;113059;46,354954;17,785534;100;0552875113059;18;65;;;;;;;;;;
0;csomagpont;552846;113196;46,356182;17,785129;100;0552846113196;18;65;;;;;;;;;;
0;csomagpont;552846;113196;46,356182;17,785129;100;0552846113196;18;65;;;;;;;;;;
0;csomagpont;553431;113244;46,356698;17,792718;100;0553431113244;18;65;;;;;;;;;;
0;csomagpont;552603;115866;46,380162;17,78141;100;0552603115866;18;65;;;;;;;;;;
0;csomagpont;552750;113369;46,357724;17,783845;100;0552750113369;18;65;;;;;;;;;;
0;csomagpont;552590;113685;46,360543;17,7817;100;0552590113685;18;65;;;;;;;;;;
