subtype;EOVX;EOVY;LAT;LON;poid;id;risk;essential;work_type;work_capacity;work_minage;work_maxage;st_type;st_capacity;st_minage;st_maxage
bölcsőde;737449;100400;46,24248312;20,18138208;220964;220964bolcs;1;2;4;8;22;65;3;36;0;3
bölcsőde;737832;100801;46,24604003;20,18642299;148565;148565bolcs;1;2;4;8;22;65;3;36;0;3
bölcsőde;737879;98993;46,229729;20,186622;220965;220965bolcs;1;2;4;8;22;65;3;36;0;3
bölcsőde;738209;99014;46,22991667;20,19097204;148245;148245bolcs;1;2;4;8;22;65;3;36;0;3
bölcsőde;738704;97645;46,217495;20,197058;59594;59594bolcs;1;2;4;8;22;65;3;36;0;3
bölcsőde;739257;102484;46,260948;20,205152;174779;174779bolcs;1;2;4;8;22;65;3;36;0;3
gimnázium;733254;101544;46,253265;20,127133;44672;44672gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;733738;100890;46,247322;20,133292;42937;42937gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;734018;101993;46,257209;20,137121;213982;213982gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;734155;100325;46,242188;20,138596;34035;34035gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;734159;101858;46,255977;20,138925;44355;44355gimna;1;2;4;24;22;65;3;270;14;19
gimnázium;734233;103218;46,268201;20,140131;44323;44323gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;734233;103218;46,268201;20,140131;109362;109362gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;734335;100912;46,247445;20,141036;213968;213968gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;734722;100938;46,247631;20,146058;42382;42382gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;735139;101187;46,249817;20,15151;41619;41619gimna;1;2;4;106;22;65;3;838;14;19
gimnázium;735325;101860;46,255847;20,154045;110150;110150gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;735418;102243;46,259281;20,155322;213989;213989gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;735452;101874;46,255957;20,155695;46822;46822gimna;1;2;4;96;22;65;3;786;14;19
gimnázium;735455;102240;46,259249;20,155801;213988;213988gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;735535;103433;46,26997;20,157058;40940;40940gimna;1;2;4;102;22;65;3;979;14;19
gimnázium;735542;102295;46,259733;20,156939;44356;44356gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;735783;103224;46,268058;20,160236;34042;34042gimna;1;2;4;70;22;65;3;290;14;19
gimnázium;736129;103222;46,267996;20,164723;41751;41751gimna;1;2;4;62;22;65;3;445;14;19
óvoda;728016;103964;46,275663;20,059619;109836;109836ovoda;1;2;4;7;22;65;3;51;3;6
óvoda;728333;104474;46,280214;20,063817;109838;109838ovoda;1;2;4;10;22;65;3;69;3;6
óvoda;728595;103977;46,275713;20,067132;109839;109839ovoda;1;2;4;10;22;65;3;71;3;6
óvoda;728954;103643;46,272666;20,071733;109837;109837ovoda;1;2;4;14;22;65;3;90;3;6
óvoda;729897;97414;46,216524;20,082895;109825;109825ovoda;1;2;4;6;22;65;3;50;3;6
óvoda;731945;96162;46,205015;20,109213;109826;109826ovoda;1;2;4;6;22;65;3;27;3;6
óvoda;732030;99622;46,236128;20,110923;109813;109813ovoda;1;2;4;10;22;65;3;70;3;6
